Kain Ulos,Textile,"Ulos is a traditional Batak cloth used in various cultural ceremonies. Its motifs often feature vibrant reds and blacks, symbolizing strength and honor. Crafted through complex weaving techniques, each piece tells a story of Batak heritage. Ulos is commonly given as a symbolic gift during weddings or special occasions.","350,000",https://down-id.img.susercontent.com/file/8dac452e1596ec587eb575e17153b4a6
Lombok Tenun Scarf,Textile,"Lombok's woven scarves are known for their intricate designs and natural dyes. Each scarf reflects the unique beauty and culture of Lombok Island. These scarves are a popular souvenir, known for their durability and detailed craftsmanship.","250,000",https://down-id.img.susercontent.com/file/2baab0483904b1eec4b18b5fb14605f2
Balinese Painting,Art,"Balinese paintings often depict everyday life and natural landscapes. Known for their vibrant colors, these paintings bring a lively energy to any space. Many tourists purchase them to capture the beauty of Bali. Each piece is handcrafted by local artists with great attention to detail.","1,200,000",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTUCBdNE7ufpcc-KEojvIQkmjeyfQE8CaRoYw&s
Toraja Wood Carving,Handicraft,"Toraja wood carvings showcase intricate designs that represent ancestral heritage. Crafted from high-quality wood, these carvings are rich in symbolism and are often used in traditional ceremonies. Toraja carvings make for impressive decorative pieces with cultural depth.","400,000",https://assets.kompasiana.com/statics/files/1423989269538815084.jpg?t=o&v=700?t=o&v=110
Betawi Kebaya,Traditional Wear,"The Betawi Kebaya is an elegant traditional outfit worn by Betawi women, often seen at weddings and ceremonies. It features intricate embroidery and vibrant colors, reflecting the Betawi cultural heritage. This attire remains a symbol of pride among the Betawi community.","500,000",https://down-id.img.susercontent.com/file/099e5ebe507cb7c10c9f840c26fcf6f6
Baduy Loincloth,Textile,"Baduy cloth is made by the indigenous Baduy people using traditional hand-weaving techniques. With its minimalist designs and natural dyes, the fabric symbolizes harmony with nature. It is often used in ceremonies and worn with pride.","350,000",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR0AJX6zeT-4T7kiL5dp-frIB0A1oQpOscJmg&s
Dodol Betawi,Food,"Dodol Betawi is a chewy and sweet traditional candy made from glutinous rice and coconut milk. Available in various flavors like durian and pandan, it is a popular Betawi treat often given as a gift during festive seasons. Its unique texture and flavors make it a favorite among locals and tourists.","75,000",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgDzlGdLM2So_Z1TZYn8uQKnl0lcNVCuLgKw&s
Balinese Silver Jewelry,Jewelry,"Renowned for its intricate craftsmanship, Balinese silver jewelry is often made using traditional techniques passed down through generations. Each piece reflects the island's unique culture and natural beauty. Many visitors purchase rings, bracelets, and necklaces as keepsakes.","500,000",https://i.etsystatic.com/12509577/r/il/9aba5f/4185435401/il_fullxfull.4185435401_7elf.jpg
Jakarta Keychain,Souvenir,Keychains from Jakarta often feature miniature versions of local icons like the Monas tower. These small mementos are affordable and make perfect gifts for friends and family back home. Many designs incorporate vibrant colors and symbols of Jakarta’s culture.,"50,000",https://images.tokopedia.net/img/cache/500-square/VqbcmM/2022/6/9/6bc0fc08-f33d-4bc0-b5c9-ff256f04af70.jpg
Songket Palembang,Textile,"Songket from Palembang is a luxurious handwoven fabric made with gold or silver threads, often featuring floral or geometric patterns. This fabric is traditionally worn at weddings and formal events, symbolizing wealth and prestige. Its intricate design process makes it highly valued.","500,000",https://asset-a.grid.id/crop/0x0:0x0/780x800/photo/bobofoto/original/1384_kain-tenun-songket-palembang-foto-panduanwisataid.jpg
